artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
a-ha,Hunting High and Low,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,0.573,0.902,6,-7.638,0,0.054,0.00125,0.0928,0.876,84.412,225280,4
The Proclaimers,Sunshine on Leith,I'm Gonna Be (500 Miles),67iAlVNDDdddxqSD2EZhFs,0.851,0.551,4,-5.177,1,0.0396,0,0.0827,0.807,131.922,219467,4
Simple Minds,Once Upon A Time (Deluxe),Don't You (Forget About Me),4aWn4NHlELpOehxsBaQeoe,0.66,0.816,2,-6.61,1,0.0299,0.0181,0.0608,0.678,111.346,263040,4
Billy Joel,Piano Man,Piano Man,78WVLOP9pN0G3gRLFy1rAa,0.334,0.477,0,-8.806,1,0.0276,4.17E-06,0.312,0.405,179.239,336200,3
ABBA,Arrival,Dancing Queen,0GjEhVFGZW8afUYGChu3Rr,0.543,0.87,9,-6.514,1,0.0428,0.000939,0.792,0.754,100.804,230400,4
ABBA,Abba,Mamma Mia,2TxCwUlqaOH3TIyJqGgR91,0.749,0.748,2,-7.011,1,0.0323,0.000443,0.469,0.827,137.547,213267,4
ABBA,Arrival,"Knowing Me, Knowing You",798cuJeotvXP8UVa8GJPnD,0.546,0.733,2,-7.073,1,0.0299,1.11E-06,0.235,0.91,107.285,241920,4
Don McLean,The Best Of Don McLean,American Pie,2QgWuCtBpNIpl5trmKCxRf,0.526,0.509,7,-10.893,1,0.0628,0,0.144,0.497,138.318,515867,4
Razorlight,Razorlight,America,6bS7DqTuzrpkluB7boWmw2,0.447,0.568,2,-4.975,1,0.0305,3.26E-06,0.355,0.149,90.933,249760,4
America,America,A Horse with No Name,54eZmuggBFJbV7k248bTTt,0.654,0.506,11,-17.18,0,0.0535,0.0155,0.155,0.831,123.179,252240,4
Arcade Fire,Everything Now,Everything Now,7KsZHCfOitA5V9oQYVdltG,0.548,0.865,0,-5.325,1,0.0302,0.000449,0.457,0.61,116.046,303013,4
Arcade Fire,The Suburbs,The Suburbs,2UWdUez9MB9yzL7Y81Mcip,0.616,0.682,6,-6.148,0,0.0265,0.0241,0.342,0.528,117.78,315200,4
Arcade Fire,The Suburbs,Ready to Start,01wsKcJ8ptqUmatpJlEGYj,0.282,0.932,9,-4.701,1,0.0387,0.0335,0.0692,0.536,190.08,255893,4
Arcade Fire,Neon Bible,Keep the Car Running,4KjdLo9JWJEKYoAJ8spkat,0.474,0.902,2,-6.261,1,0.0349,0.0218,0.0618,0.279,96.342,209093,4
Arcade Fire,The Suburbs,We Used to Wait,37EmPMVwdBaKs7UhJOkHUU,0.573,0.642,8,-7.239,1,0.0279,0.0232,0.105,0.49,120.753,301400,4
Arcade Fire,The Suburbs,Modern Man,2EIEJ1zpvjpHuL6eWKGDZ8,0.681,0.699,9,-7.307,1,0.0329,0.0301,0.117,0.601,122.254,279760,4
Arctic Monkeys,Favourite Worst Nightmare,Fluorescent Adolescent,2x8evxqUlF0eRabbW2JBJd,0.654,0.828,1,-5.377,0,0.0281,0.000144,0.122,0.79,112.056,183893,4
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Mardy Bum,2fyIS6GXMgUcSv4oejx63f,0.634,0.599,2,-5.447,1,0.0365,0,0.197,0.312,112.215,175440,4
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",I Bet You Look Good On The Dancefloor,3DQVgcqaP3iSMbaKsd57l5,0.535,0.948,6,-4.19,0,0.0356,0,0.376,0.778,103.183,173680,4
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",When The Sun Goes Down,2zzLRQ78kKfPTx8FJQCdC2,0.348,0.875,11,-4.758,0,0.199,0,0.117,0.407,169.152,202133,4
Arctic Monkeys,Favourite Worst Nightmare,Brianstorm,7f9I5WdyXm5q1XqnSYgQZb,0.42,0.974,1,-4.706,1,0.191,0.00155,0.0871,0.463,165.182,172867,4
Arctic Monkeys,Favourite Worst Nightmare,Teddy Picker,5kxVyCgEUND7E2QKG7JmoF,0.637,0.963,9,-5.116,1,0.0882,0.000889,0.0449,0.823,150.1,165000,4
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",The View From The Afternoon,5eyTC5GZzpzlN7YRO9AoPf,0.387,0.922,9,-5.192,0,0.0674,0,0.187,0.417,146.478,222947,4
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Still Take You Home,64a5XZCVDWwvC7gwPPCsH6,0.599,0.946,8,-4.192,1,0.0378,0,0.0973,0.653,108.934,173667,4
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Red Light Indicates Doors Are Secured,56GFlp1dkt7dw56pQdTwqW,0.622,0.846,11,-4.831,0,0.0311,0,0.0989,0.914,110.683,143627,4
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Riot Van,4wMR4fRKMTyUJG6VAsmccv,0.593,0.333,9,-14.342,1,0.046,0,0.245,0.258,103.537,134933,4
Bad Company,Bad Company (Deluxe),Bad Company - 2015 Remaster,36vTL8WP4ZoD1bbUaW0V3E,0.545,0.467,8,-10.862,1,0.0305,0.175,0.0805,0.444,113.713,288053,4
